document_id,parcel_id,ocr_survey_number,ocr_owner_name,ocr_area_acres,ocr_village,ocr_confidence,extraction_status,validation_issue
DOC-BRG-0001,TG-RR-FNR-BRG-0001,1,G. Srinivas Reddy,9.41,Burgul,0.98,COMPLETED,
DOC-BRG-0002,TG-RR-FNR-BRG-0002,2,K. Venkateshwar Rao,2.17,Burgul,0.92,COMPLETED,
DOC-BRG-0003,TG-RR-FNR-BRG-0003,3,M. Lakshmi Bai,2.93,Burgul,0.88,COMPLETED,
DOC-BRG-0004,TG-RR-FNR-BRG-0004,4,P. Anjaneyulu,5.05,Burgul,0.97,COMPLETED,
DOC-BRG-0005,TG-RR-FNR-BRG-0005,5,B. Satyanarayana,3.46,Burgul,0.96,COMPLETED,
DOC-BRG-0006,TG-RR-FNR-BRG-0006,6,T. Ramaiah,4.19,Burgul,0.96,COMPLETED,
DOC-BRG-0007,TG-RR-FNR-BRG-0007,7,Ch. Madhava Reddy,8.72,Burgul,0.93,COMPLETED,
DOC-BRG-0008,TG-RR-FNR-BRG-0008,8,V. Narsimha,3.21,Burgul,0.95,COMPLETED,
DOC-BRG-0009,TG-RR-FNR-BRG-0009,9,S. Kistamma,5.02,Burgul,0.92,COMPLETED,
DOC-BRG-0010,TG-RR-FNR-BRG-0010,10,A. Balraj,9.29,Burgul,0.89,COMPLETED,
DOC-BRG-0011,TG-RR-FNR-BRG-0011,11,M. Mallesh Goud,7.71,Burgul,0.94,COMPLETED,
DOC-BRG-0012,TG-RR-FNR-BRG-0012,12,K. Chandraiah,3.99,Burgul,0.9,COMPLETED,
DOC-BRG-0013,TG-RR-FNR-BRG-0013,13,J. Ramachandra Reddy,7.39,Burgul,0.93,COMPLETED,
DOC-BRG-0014,TG-RR-FNR-BRG-0014,14,D. Gopal Rao,1.79,Burgul,0.9,COMPLETED,
DOC-BRG-0015,TG-RR-FNR-BRG-0015,15,R. Prabhakar,9.81,Burgul,0.62,NEEDS_REVIEW,Low OCR confidence in handwritten Tippon annotation
DOC-BRG-0016,TG-RR-FNR-BRG-0016,16,E. Yadagiri,5.19,Burgul,0.91,COMPLETED,
DOC-BRG-0017,TG-RR-FNR-BRG-0017,17,N. Shankaraiah,12.99,Burgul,0.97,COMPLETED,
DOC-BRG-0018,TG-RR-FNR-BRG-0018,18,P. Suseela,8.31,Burgul,0.92,COMPLETED,
DOC-BRG-0019,TG-RR-FNR-BRG-0019,19,B. Vittal Reddy,6.48,Burgul,0.94,COMPLETED,
DOC-BRG-0020,TG-RR-FNR-BRG-0020,20,K. Padma,7.67,Burgul,0.94,COMPLETED,
DOC-BRG-0021,TG-RR-FNR-BRG-0021,21,G. Lingaiah,9.61,Burgul,0.93,COMPLETED,
