parcel_id,survey_number,survey_display,owner_name,village,mandal,district,state,area_acres,centroid_lat,centroid_lon,verification_status,validation_issue
TG-RR-FNR-BRG-0001,1,1,G. Srinivas Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,9.41,17.080886,78.190929,VERIFIED,
TG-RR-FNR-BRG-0002,2,2,K. Venkateshwar Rao,Burgul,Farooqnagar,Rangareddy,Telangana,2.17,17.080963,78.187992,VERIFIED,
TG-RR-FNR-BRG-0003,3,3,M. Lakshmi Bai,Burgul,Farooqnagar,Rangareddy,Telangana,2.93,17.080321,78.187545,VERIFIED,
TG-RR-FNR-BRG-0004,4,4,P. Anjaneyulu,Burgul,Farooqnagar,Rangareddy,Telangana,5.05,17.080421,78.18874,VERIFIED,
TG-RR-FNR-BRG-0005,5,5,B. Satyanarayana,Burgul,Farooqnagar,Rangareddy,Telangana,3.46,17.080266,78.186883,VERIFIED,
TG-RR-FNR-BRG-0006,6,6,T. Ramaiah,Burgul,Farooqnagar,Rangareddy,Telangana,4.19,17.080358,78.186089,VERIFIED,
TG-RR-FNR-BRG-0007,7,7,Ch. Madhava Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,8.72,17.079681,78.18109,VERIFIED,
TG-RR-FNR-BRG-0008,8,8,V. Narsimha,Burgul,Farooqnagar,Rangareddy,Telangana,3.21,17.080478,78.185156,VERIFIED,
TG-RR-FNR-BRG-0009,9,9,S. Kistamma,Burgul,Farooqnagar,Rangareddy,Telangana,5.02,17.080412,78.183745,VERIFIED,
TG-RR-FNR-BRG-0010,10,10,A. Balraj,Burgul,Farooqnagar,Rangareddy,Telangana,9.29,17.079781,78.190503,VERIFIED,
TG-RR-FNR-BRG-0011,11,11,M. Mallesh Goud,Burgul,Farooqnagar,Rangareddy,Telangana,7.71,17.080365,78.194179,VERIFIED,
TG-RR-FNR-BRG-0012,12,12,K. Chandraiah,Burgul,Farooqnagar,Rangareddy,Telangana,3.99,17.079308,78.1855,VERIFIED,
TG-RR-FNR-BRG-0013,13,13,J. Ramachandra Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,7.39,17.079479,78.182694,VERIFIED,
TG-RR-FNR-BRG-0014,14,14,D. Gopal Rao,Burgul,Farooqnagar,Rangareddy,Telangana,1.79,17.079408,78.19487,VERIFIED,
TG-RR-FNR-BRG-0015,15,15,R. Prabhakar,Burgul,Farooqnagar,Rangareddy,Telangana,9.81,17.078953,78.17928,REVIEW_REQUIRED,Low OCR confidence in handwritten Tippon annotation
TG-RR-FNR-BRG-0016,16,16,E. Yadagiri,Burgul,Farooqnagar,Rangareddy,Telangana,5.19,17.078965,78.18476,VERIFIED,
TG-RR-FNR-BRG-0017,17,17,N. Shankaraiah,Burgul,Farooqnagar,Rangareddy,Telangana,12.99,17.079392,78.196683,VERIFIED,
TG-RR-FNR-BRG-0018,18,18,P. Suseela,Burgul,Farooqnagar,Rangareddy,Telangana,8.31,17.078387,78.183723,VERIFIED,
TG-RR-FNR-BRG-0019,19,19,B. Vittal Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,6.48,17.078478,78.178108,VERIFIED,
TG-RR-FNR-BRG-0020,20,20,K. Padma,Burgul,Farooqnagar,Rangareddy,Telangana,7.67,17.078492,78.176889,VERIFIED,
TG-RR-FNR-BRG-0021,21,21,G. Lingaiah,Burgul,Farooqnagar,Rangareddy,Telangana,9.61,17.079443,78.193395,VERIFIED,
TG-RR-FNR-BRG-0022,22,22,M. Krishna Murthy,Burgul,Farooqnagar,Rangareddy,Telangana,5.71,17.078851,78.188576,VERIFIED,
TG-RR-FNR-BRG-0023,23,23,S. Venkat Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,6.58,17.078373,78.18959,VERIFIED,
TG-RR-FNR-BRG-0024,24,24,A. Jagadeeshwar,Burgul,Farooqnagar,Rangareddy,Telangana,6.18,17.078857,78.187199,VERIFIED,
TG-RR-FNR-BRG-0025,25,25,G. Srinivas Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,3.07,17.078535,78.195173,VERIFIED,
TG-RR-FNR-BRG-0026,26,26,K. Venkateshwar Rao,Burgul,Farooqnagar,Rangareddy,Telangana,6.71,17.077997,78.175165,VERIFIED,
TG-RR-FNR-BRG-0027,27,27,M. Lakshmi Bai,Burgul,Farooqnagar,Rangareddy,Telangana,9.05,17.078587,78.199784,VERIFIED,
TG-RR-FNR-BRG-0028,28,28,P. Anjaneyulu,Burgul,Farooqnagar,Rangareddy,Telangana,3.48,17.077833,78.201389,VERIFIED,
TG-RR-FNR-BRG-0029,29,29,B. Satyanarayana,Burgul,Farooqnagar,Rangareddy,Telangana,5.89,17.078001,78.186232,VERIFIED,
TG-RR-FNR-BRG-0030,30,30,T. Ramaiah,Burgul,Farooqnagar,Rangareddy,Telangana,4.33,17.078023,78.193522,VERIFIED,
TG-RR-FNR-BRG-0031,31,31,Ch. Madhava Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,7.11,17.077717,78.196071,VERIFIED,
TG-RR-FNR-BRG-0032,32,32,V. Narsimha,Burgul,Farooqnagar,Rangareddy,Telangana,8.56,17.07839,78.192295,CONFLICT,Owner mismatch: Deed titleholder 'V. Narsimha' vs Extracted 'R. Prabhakar'
TG-RR-FNR-BRG-0033,33,33,S. Kistamma,Burgul,Farooqnagar,Rangareddy,Telangana,11.62,17.077744,78.190886,VERIFIED,
TG-RR-FNR-BRG-0034,34,34,A. Balraj,Burgul,Farooqnagar,Rangareddy,Telangana,3.28,17.077383,78.202112,VERIFIED,
TG-RR-FNR-BRG-0035,35,35,M. Mallesh Goud,Burgul,Farooqnagar,Rangareddy,Telangana,7.0,17.077585,78.199644,VERIFIED,
TG-RR-FNR-BRG-0036,36,36,K. Chandraiah,Burgul,Farooqnagar,Rangareddy,Telangana,20.09,17.077623,78.181341,VERIFIED,
TG-RR-FNR-BRG-0037,37,37,J. Ramachandra Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,7.65,17.077266,78.187776,VERIFIED,
TG-RR-FNR-BRG-0038,38,38,D. Gopal Rao,Burgul,Farooqnagar,Rangareddy,Telangana,4.73,17.077288,78.19464,VERIFIED,
TG-RR-FNR-BRG-0039,39,39,R. Prabhakar,Burgul,Farooqnagar,Rangareddy,Telangana,2.18,17.077231,78.203048,VERIFIED,
TG-RR-FNR-BRG-0040,40,40,E. Yadagiri,Burgul,Farooqnagar,Rangareddy,Telangana,9.1,17.077807,78.198195,VERIFIED,
