parcel_id,survey_number,survey_display,sub_division,khata_number,owner_name,co_owner_name,village,mandal,district,state,land_classification,ownership_type,area_acres,area_sq_meters,mutation_status,registration_status,document_reference,confidence_score,verification_status,validation_issue,created_at,updated_at,centroid_lat,centroid_lon
P0001,101,101/1,1,KH00001,Synthetic Owner 001,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2205,57548.37,Updated,Registered,DOC-00001,0.939,Verified,,2025-01-01,2025-06-01,14.651,77.5512
P0002,102,102,,KH00002,Synthetic Owner 002,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2205,57548.37,Updated,Registered,DOC-00002,0.948,Verified,,2025-01-01,2025-06-01,14.651,77.5536
P0003,103,103,,KH00003,Synthetic Owner 003,Synthetic Owner 503,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Joint,14.2205,57548.37,Pending,Registered,DOC-00003,0.736,Review Required,Missing mutation information,2025-01-01,2025-06-01,14.651,77.556
P0004,104,104,,KH00004,Synthetic Owner 004,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2205,57548.37,Pending,Registered,DOC-00004,0.748,Review Required,Missing mutation information,2025-01-01,2025-06-01,14.651,77.5584
P0005,105,105,,KH00005,Synthetic Owner 005,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2205,57548.37,Updated,Registered,DOC-00005,0.975,Verified,,2025-01-01,2025-06-01,14.651,77.5608
P0006,106,106/1,1,KH00006,Synthetic Owner 006,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2205,57548.37,Updated,Registered,DOC-00006,0.984,Verified,,2025-01-01,2025-06-01,14.651,77.5632
P0007,107,107,,KH00007,Synthetic Owner 007,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2205,57548.37,Updated,Registered,DOC-00007,0.93,Verified,,2025-01-01,2025-06-01,14.651,77.5656
P0008,108,108,,KH00008,Synthetic Owner 008,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2205,57548.37,Updated,Registered,DOC-00008,0.939,Verified,,2025-01-01,2025-06-01,14.651,77.568
P0009,109,109,,KH00009,Synthetic Owner 009,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2205,57548.37,Updated,Registered,DOC-00009,0.948,Verified,,2025-01-01,2025-06-01,14.651,77.5704
P0010,110,110,,KH00010,Synthetic Owner 010,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2205,57548.37,Updated,Registered,DOC-00010,0.957,Verified,,2025-01-01,2025-06-01,14.651,77.5728
P0011,111,111/3,3,KH00011,Synthetic Owner 011,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2205,57548.37,Updated,Registered,DOC-00011,0.966,Verified,,2025-01-01,2025-06-01,14.651,77.5752
P0012,112,112,,KH00012,Synthetic Owner 012,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2205,57548.37,Updated,Registered,DOC-00012,0.564,Conflict,Survey number uncertainty,2025-01-01,2025-06-01,14.651,77.5776
P0013,113,113,,KH00013,Synthetic Owner 013,Synthetic Owner 513,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Joint,14.2205,57548.37,Updated,Registered,DOC-00013,0.856,Review Required,Possible duplicate,2025-01-01,2025-06-01,14.651,77.58
P0014,114,114,,KH00014,Synthetic Owner 014,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2205,57548.37,Updated,Registered,DOC-00014,0.93,Verified,,2025-01-01,2025-06-01,14.651,77.5824
P0015,115,115,,KH00015,Synthetic Owner 015,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2205,57548.37,Updated,Registered,DOC-00015,0.939,Verified,,2025-01-01,2025-06-01,14.651,77.5848
P0016,116,116/2,2,KH00016,Synthetic Owner 016,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2205,57548.37,Updated,Registered,DOC-00016,0.948,Verified,,2025-01-01,2025-06-01,14.651,77.5872
