document_id,parcel_id,ocr_survey_number,ocr_owner_name,ocr_area_acres,ocr_village,ocr_confidence,extraction_status,validation_issue
DOC-00001,P0001,101/1,Synthetic Owner 001,14.2205,Example Village,0.939,Extracted,
DOC-00002,P0002,102,Synthetic Owner 002,14.2205,Example Village,0.948,Extracted,
DOC-00003,P0003,103,Synthetic Owner 003,14.2205,Example Village,0.736,Extracted,Missing mutation information
DOC-00004,P0004,104,Synthetic Owner 004,14.2205,Example Village,0.748,Extracted,Missing mutation information
DOC-00005,P0005,105,Synthetic Owner 005,14.2205,Example Village,0.975,Extracted,
DOC-00006,P0006,106/1,Synthetic Owner 006,14.2205,Example Village,0.984,Extracted,
DOC-00007,P0007,107,Synthetic Owner 007,14.2205,Example Village,0.93,Extracted,
DOC-00008,P0008,108,Synthetic Owner 008,14.2205,Example Village,0.939,Extracted,
DOC-00009,P0009,109,Synthetic Owner 009,14.2205,Example Village,0.948,Extracted,
DOC-00010,P0010,110,Synthetic Owner 010,14.2205,Example Village,0.957,Extracted,
DOC-00011,P0011,111/3,Synthetic Owner 011,14.2205,Example Village,0.966,Extracted,
DOC-00012,P0012,112,Synthetic Owner 012,14.2205,Example Village,0.564,Needs Review,Survey number uncertainty
DOC-00013,P0013,113,Synthetic Owner 013,14.2205,Example Village,0.856,Extracted,Possible duplicate
DOC-00014,P0014,114,Synthetic Owner 014,14.2205,Example Village,0.93,Extracted,
DOC-00015,P0015,115,Synthetic Owner 015,14.2205,Example Village,0.939,Extracted,
DOC-00016,P0016,116/2,Synthetic Owner 016,14.2205,Example Village,0.948,Extracted,
DOC-00017,P0017,117,Synthetic Owner 017,14.2205,Example Village,0.957,Extracted,
DOC-00018,P0018,118,Synthetic Owner 018,14.2205,Example Village,0.966,Extracted,
DOC-00019,P0019,119,Synthetic Owner 019,14.2205,Example Village,0.648,Needs Review,Low OCR confidence
DOC-00020,P0020,120,Synthetic Owner 020,14.2205,Example Village,0.984,Extracted,
DOC-00021,P0021,121/1,Synthetic Owner 021,14.2205,Example Village,0.93,Extracted,
